,Dice loss
0,1.9683618545532227
1,1.9510002136230469
2,1.9305161237716675
3,1.9337519407272339
4,1.9180787801742554
5,1.9086167812347412
6,1.8986700773239136
7,1.9101375341415405
8,1.8931450843811035
9,1.9066170454025269
10,1.8792994022369385
11,1.8733800649642944
12,1.8723018169403076
13,1.8713425397872925
14,1.8594028949737549
15,1.8464422225952148
16,1.8399910926818848
17,1.8424112796783447
18,1.872944712638855
19,1.8385636806488037
20,1.8359253406524658
21,1.8392162322998047
22,1.7963862419128418
23,1.8363590240478516
24,1.7925156354904175
25,1.8025139570236206
26,1.8104665279388428
27,1.7975068092346191
28,1.7960275411605835
29,1.8363234996795654
30,1.7806239128112793
31,1.774184226989746
32,1.7923282384872437
33,1.7345218658447266
34,1.8120707273483276
35,1.789043664932251
36,1.7390989065170288
37,1.7442716360092163
38,1.693559169769287
39,1.7398303747177124
40,1.7946985960006714
41,1.6768836975097656
42,1.647463083267212
43,1.6837570667266846
44,1.6804536581039429
45,1.6638092994689941
46,1.6788740158081055
47,1.6565954685211182
48,1.6805293560028076
49,1.655415415763855
50,1.6874160766601562
51,1.647998571395874
52,1.6784100532531738
53,1.6006364822387695
54,1.6063003540039062
55,1.6761548519134521
56,1.6386604309082031
57,1.621095061302185
58,1.590437412261963
59,1.6605191230773926
60,1.6913036108016968
61,1.6493055820465088
62,1.6189792156219482
63,1.585343360900879
64,1.6206344366073608
65,1.5601729154586792
66,1.5484575033187866
67,1.596984624862671
68,1.595862865447998
69,1.6018527746200562
70,1.6337569952011108
71,1.5604000091552734
72,1.6431330442428589
73,1.7273935079574585
74,1.5283863544464111
75,1.5258344411849976
76,1.5381629467010498
77,1.6479610204696655
78,1.7024840116500854
79,1.5952987670898438
80,1.5686423778533936
81,1.5159434080123901
82,1.5667200088500977
83,1.5248140096664429
84,1.5497150421142578
85,1.5908164978027344
86,1.5783545970916748
87,1.5694208145141602
88,1.6052989959716797
89,1.4976519346237183
90,1.5026016235351562
91,1.526049017906189
92,1.484137773513794
93,1.5734739303588867
94,1.560914397239685
95,1.5538123846054077
96,1.4972002506256104
97,1.479163408279419
98,1.5751928091049194
99,1.5163886547088623
100,1.4744952917099
101,1.4941349029541016
102,1.5217981338500977
103,1.6097626686096191
104,1.4943712949752808
105,1.4528611898422241
106,1.4979193210601807
107,1.4882514476776123
108,1.519867181777954
109,1.4977357387542725
110,1.5465495586395264
111,1.480080485343933
112,1.4524450302124023
113,1.4461114406585693
114,1.5071433782577515
115,1.4210467338562012
116,1.5627034902572632
117,1.5068063735961914
118,1.4717779159545898
119,1.5762876272201538
120,1.5261428356170654
121,1.4545029401779175
122,1.4082534313201904
123,1.4596680402755737
124,1.4182043075561523
125,1.4165542125701904
126,1.4520071744918823
127,1.4613871574401855
128,1.338850975036621
129,1.380859375
130,1.3361506462097168
131,1.438042402267456
132,1.5823814868927002
133,1.4368022680282593
134,1.466204047203064
135,1.4806041717529297
136,1.4179333448410034
137,1.5281480550765991
138,1.3720297813415527
139,1.4014614820480347
140,1.3553173542022705
141,1.4464657306671143
142,1.3458093404769897
143,1.348408579826355
144,1.5544137954711914
145,1.338798999786377
146,1.3318246603012085
147,1.3824515342712402
148,1.3590314388275146
149,1.346422553062439
150,1.3449878692626953
151,1.4858698844909668
152,1.445206642150879
153,1.3320002555847168
154,1.3570234775543213
