Date,real [$],predicted [$],predicted change [%]
2020-07-01,1438.0400390625,1378.8370361328125,-2.459868675170827
2020-07-02,1464.699951171875,1427.93408203125,-0.7027590857510732
2020-07-03,1495.699951171875,1366.33740234375,-6.715542575762854
2020-07-07,1485.1800537109375,1421.9989013671875,-4.9275290640307245
2020-07-08,1496.0,1431.615966796875,-3.6065719291223224
2020-07-09,1510.989990234375,1531.7164306640625,2.3874619427849266
2020-07-10,1541.739990234375,1504.954345703125,-0.3994496701009773
2020-07-11,1511.3399658203125,1501.41552734375,-2.6155164389615972
2020-07-14,1520.5799560546875,1535.9166259765625,1.6261503508186845
2020-07-15,1513.6400146484375,1523.7230224609375,0.2067018175357929
2020-07-16,1518.0,1534.1220703125,1.3531655787271006
2020-07-17,1515.550048828125,1506.368896484375,-0.7662123528079711
2020-07-18,1565.719970703125,1516.7357177734375,0.07823357243987421
2020-07-21,1558.4200439453125,1519.0150146484375,-2.9829699389804354
2020-07-22,1568.489990234375,1583.2608642578125,1.5939746417540113
2020-07-23,1515.6800537109375,1613.9549560546875,2.8986455829098916
2020-07-24,1511.8699951171875,1603.381591796875,5.786283053023767
2020-07-25,1530.199951171875,1567.5111083984375,3.6802842480472115
2020-07-28,1500.3399658203125,1583.1383056640625,3.4595710483225184
2020-07-29,1522.02001953125,1571.5797119140625,4.748240246656336
2020-07-30,1531.449951171875,1476.8734130859375,-2.966229475694853
2020-07-31,1482.9599609375,1544.48876953125,0.8514034917953156
2020-08-01,,1495.4842529296875,0.8445468739607692
