Date,real [$],predicted [$],predicted change [%]
2020-07-01,1438.0400390625,1381.08154296875,-2.301090309200294
2020-07-02,1464.699951171875,1401.39208984375,-2.548465148622834
2020-07-03,1495.699951171875,1439.76904296875,-1.7021170911611156
2020-07-07,1485.1800537109375,1369.9716796875,-8.40598218819673
2020-07-08,1496.0,1440.47900390625,-3.009806770094673
2020-07-09,1510.989990234375,1480.7752685546875,-1.0176959522267714
2020-07-10,1541.739990234375,1477.6837158203125,-2.2042683690377225
2020-07-11,1511.3399658203125,1519.382080078125,-1.4501738488894715
2020-07-14,1520.5799560546875,1573.9852294921875,4.145014694815731
2020-07-15,1513.6400146484375,1571.349365234375,3.3388187827632776
2020-07-16,1518.0,1534.0782470703125,1.3502703564970198
2020-07-17,1515.550048828125,1531.828125,0.910943675889328
2020-07-18,1565.719970703125,1551.8665771484375,2.3962605753860573
2020-07-21,1558.4200439453125,1526.0257568359375,-2.5352051841915153
2020-07-22,1568.489990234375,1501.170654296875,-3.673553216339822
2020-07-23,1515.6800537109375,1520.7962646484375,-3.040741470005222
2020-07-24,1511.8699951171875,1504.316162109375,-0.7497553044746844
2020-07-25,1530.199951171875,1574.51953125,4.143844135749015
2020-07-28,1500.3399658203125,1510.3006591796875,-1.3004373694397258
2020-07-29,1522.02001953125,1523.16259765625,1.5211640265450905
2020-07-30,1531.449951171875,1519.193359375,-0.18571767256521052
2020-07-31,1482.9599609375,1496.5413818359375,-2.2794456527440055
2020-08-01,,1551.507568359375,4.6223505170389405
