Date,real [$],predicted [$],predicted change [%]
2020-02-29,1389.1099853515625,1363.81298828125,1.828006020165714
2020-03-03,1341.3900146484375,1344.6671142578125,-3.1993774116095053
2020-03-04,1386.52001953125,1358.638427734375,1.2858611513116196
2020-03-05,1319.0400390625,1349.479248046875,-2.671492006072701
2020-03-06,1298.4100341796875,1352.07373046875,2.5043736678174304
2020-03-07,1215.56005859375,1339.4229736328125,3.1587047522346245
2020-03-10,1280.3900146484375,1338.3179931640625,10.098878595297709
2020-03-11,1215.4100341796875,1391.3453369140625,8.665744108922194
2020-03-12,1114.9100341796875,1258.1414794921875,3.515804881546875
2020-03-13,1219.72998046875,1205.124755859375,8.091659319046705
2020-03-14,1084.3299560546875,1216.5308837890625,-0.26227908888966284
2020-03-17,1119.800048828125,1204.755126953125,11.105952595518254
2020-03-18,1096.800048828125,1119.945556640625,0.01299408877971335
2020-03-19,1115.2900390625,1107.1141357421875,0.940379873713771
2020-03-20,1072.3199462890625,1063.462890625,-4.646965957040673
2020-03-21,1056.6199951171875,1089.8233642578125,1.6322943566725046
2020-03-24,1134.4599609375,1064.6097412109375,0.7561607891836151
2020-03-25,1102.489990234375,1060.02001953125,-6.561707241279278
2020-03-26,1161.75,1055.71630859375,-4.242549325158183
2020-03-27,1110.7099609375,1140.0262451171875,-1.8699164951850655
2020-03-28,1146.8199462890625,1085.89599609375,-2.2340634113702964
2020-03-31,1162.81005859375,1097.9501953125,-4.2613272584504385
2020-04-01,,1096.4229736328125,-5.70919424632627
