,Dice loss
0,1.8881051540374756
1,1.7461472749710083
2,1.817870855331421
3,1.9989210367202759
4,1.9649077653884888
5,1.9768468141555786
6,1.991775393486023
7,1.8208518028259277
8,1.655692219734192
9,1.999732255935669
10,1.7392014265060425
11,1.6296237707138062
12,1.9772330522537231
13,2.0
14,1.7407280206680298
15,1.9218027591705322
16,1.404295563697815
17,1.8838766813278198
18,1.902018666267395
19,1.5952811241149902
20,1.568993330001831
21,2.0
22,1.8977192640304565
23,1.9789562225341797
24,1.3876224756240845
25,1.999027132987976
26,1.851775884628296
27,1.913303256034851
28,1.3491246700286865
29,1.6802637577056885
30,1.5054298639297485
31,1.632455825805664
32,1.8307545185089111
33,1.9691060781478882
34,1.8376017808914185
35,1.9464911222457886
36,1.3465641736984253
37,1.7715444564819336
38,1.3952934741973877
39,1.9922995567321777
40,1.3278346061706543
41,1.541216254234314
42,2.0
43,1.3581887483596802
44,1.3552923202514648
45,1.337282419204712
46,1.651099681854248
47,1.3402317762374878
48,1.3230674266815186
49,1.5593833923339844
50,1.2546383142471313
51,1.8313313722610474
52,1.3391568660736084
53,1.7959052324295044
54,1.3098630905151367
55,1.9144827127456665
56,1.7711161375045776
57,2.0
58,1.7778209447860718
59,1.327021837234497
60,1.416174292564392
61,1.6661782264709473
62,1.495633602142334
63,1.443869948387146
64,1.2103999853134155
65,1.3920550346374512
66,1.7463228702545166
67,1.3076435327529907
68,1.4225026369094849
69,1.2984544038772583
70,1.307480812072754
71,1.5528892278671265
72,1.301344871520996
73,1.5621075630187988
74,1.714374303817749
75,1.2377748489379883
76,1.7520954608917236
77,1.6910908222198486
78,1.3345061540603638
79,2.0
80,1.321694254875183
81,1.8801380395889282
82,1.7342110872268677
83,1.4292091131210327
84,1.345476508140564
85,1.5363023281097412
86,1.5824780464172363
87,1.313690185546875
88,1.3074365854263306
89,1.5548036098480225
90,1.3241608142852783
91,1.7778486013412476
92,1.344894528388977
93,1.420595407485962
94,1.2921838760375977
95,1.3128416538238525
96,1.5315831899642944
97,2.0
98,1.3031814098358154
99,1.5794603824615479
100,1.2995831966400146
101,1.7840209007263184
102,1.317946195602417
103,1.2923853397369385
104,1.2981566190719604
105,1.2955950498580933
106,1.339687705039978
107,2.0
108,1.7661408185958862
109,1.3912608623504639
110,1.6082683801651
111,1.8642373085021973
112,1.777619481086731
113,1.4250397682189941
114,1.2922451496124268
115,1.5864583253860474
116,1.7812179327011108
117,1.3047446012496948
118,1.3026738166809082
119,1.4608675241470337
120,1.7657740116119385
121,1.3158771991729736
122,1.329003930091858
123,1.4405083656311035
124,1.6557285785675049
125,1.4112108945846558
126,1.2919769287109375
127,1.2872568368911743
128,1.349504828453064
129,1.2898814678192139
130,1.2915353775024414
131,1.594285011291504
132,1.2993959188461304
133,1.6659765243530273
134,1.5307458639144897
135,1.3164089918136597
136,1.4625767469406128
137,1.2830475568771362
138,1.5524811744689941
139,1.7077025175094604
140,1.6067200899124146
141,1.2909880876541138
142,1.1570031642913818
143,1.3144497871398926
144,1.3053920269012451
145,1.1485095024108887
146,1.3907074928283691
147,1.718254804611206
148,1.3111624717712402
149,1.5623748302459717
150,1.4768133163452148
151,1.2809977531433105
152,1.2864434719085693
153,1.7830127477645874
154,1.3105342388153076
155,1.5298235416412354
156,1.6149736642837524
157,1.3308254480361938
158,1.3566023111343384
159,1.3145142793655396
160,1.6608643531799316
161,1.2997832298278809
162,1.3043192625045776
163,1.573556661605835
164,1.3419904708862305
165,1.2785279750823975
166,1.3644553422927856
167,2.0
168,1.814648985862732
169,1.8085352182388306
170,1.1549795866012573
171,1.4235807657241821
172,1.287786602973938
173,1.544382929801941
174,1.538957118988037
175,1.3211133480072021
176,1.5451924800872803
177,1.145560622215271
178,1.7704403400421143
179,1.3009387254714966
180,1.3060880899429321
181,1.1418039798736572
182,1.3191874027252197
183,1.2911430597305298
184,1.3531982898712158
185,1.5425951480865479
186,1.607370138168335
187,2.0
188,1.7644747495651245
189,1.5105195045471191
190,1.3736464977264404
191,1.2903170585632324
192,1.3558319807052612
193,1.3032907247543335
194,1.3493674993515015
195,1.3340657949447632
196,1.3047425746917725
197,1.1299620866775513
198,1.1506110429763794
199,1.300563097000122
200,1.5588114261627197
201,1.8285794258117676
202,1.2882053852081299
203,1.802537441253662
204,1.2885501384735107
205,1.4645800590515137
206,1.3819053173065186
207,1.3848323822021484
208,1.2846243381500244
209,1.456329584121704
210,1.5218572616577148
211,1.208747148513794
212,1.301742434501648
